sample.id	population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample.1	PEL	-0.00773583	-0.00267714	-0.0084158	-0.0144793	0.0492702	0.0104854	0.00950642	-0.0274821	0.00122024	0.0201532	0.00531903	-0.0261699	-0.00370478	-0.00416782	-0.00429106	-0.0025448	0.00544589	0.00466867	-0.001456	-0.00334778
sample.2	PEL	-0.00863668	-0.00816183	-0.00813049	-0.00631525	-0.0313397	-0.0031763	-0.00557412	0.0102637	-0.00427232	0.00619416	-0.00445122	0.00336655	-6.15082e-05	0.00231091	0.0104105	-0.00194927	0.00589891	-0.00088418	-0.00135541	0.00211515
sample.3	PEL	-0.00862303	-0.00937326	-0.00993566	0.0354648	-0.00470034	-0.00986719	-0.000287979	-0.0004863	0.00313047	-0.000823476	0.00399298	-0.0165229	0.00266194	0.00577557	-0.000762916	-0.00634679	0.00141076	-0.00176962	0.000182973	0.00209509
sample.4	PEL	-0.0081722	-0.0069911	-0.00997924	0.0306836	-0.0142436	-0.00314133	-0.00305929	0.00213115	-0.00484142	-0.0134335	0.00486173	0.00128978	-0.000716623	0.00205185	0.00199764	-0.00952629	0.00188501	-0.00427443	-0.00227513	0.00429071
sample.5	PEL	-0.00960193	-0.0171823	-0.0126561	5.95974e-05	-0.00729436	0.00823931	-0.0102366	-0.00544835	0.00183127	-0.00750836	-0.0154575	-0.00245535	0.00165091	-0.00388809	0.00718511	-0.00258222	-0.00723784	-0.00435887	-0.000191545	-0.00259331
sample.6	PEL	-0.00630836	-0.0123294	-0.010149	-0.0162568	-0.0222434	0.00748102	0.0197301	0.0111321	-0.00823997	-0.0175516	0.00548976	-0.0149277	0.00844362	0.00158379	0.00461734	0.0119678	-0.00188979	0.0032216	0.0120473	-0.00281469
sample.7	PEL	-0.00375145	-0.00834376	-0.00949458	-0.0104685	0.0184962	0.0206331	0.0576032	-0.0235549	-0.00661528	0.0346136	-0.00817158	0.0260656	-0.0284871	0.00613266	0.00140549	-0.00236764	-0.00964234	-0.0152436	0.00640028	0.0100416
sample.8	PEL	-0.0088085	-0.0111369	-0.0109634	-0.0185133	-0.0277262	0.000884846	-0.00406186	-0.0108054	-0.000923728	0.00293565	9.16477e-05	-0.00416342	-0.00447903	0.00166895	0.00450149	-7.59288e-05	-0.00303417	-0.00244085	0.00276261	-0.000199598
sample.9	PEL	-0.00866564	-0.00817129	-0.00921704	0.037138	-0.0143909	-0.00368294	-0.00790327	0.0342212	0.00277354	-0.0256859	-0.00528542	-0.00471996	-0.0354524	0.00212458	0.0031124	-0.0169081	-0.0117086	-0.000961564	-0.00665412	-0.00089595
sample.10	PEL	-0.00861657	-0.00697174	-0.00902157	0.0186036	0.0220051	-0.000161321	0.00198193	0.0347753	-0.00509585	-0.00426571	0.000137096	0.0259979	0.0072982	-0.00306776	0.00509799	0.00723035	-0.00415388	0.00338353	0.00404673	0.00012364
sample.11	PEL	-0.00893359	-0.00803323	-0.0109649	0.0136242	-0.0194956	-0.00253745	-0.00433404	0.0262059	-0.000740713	-0.0281154	0.0116515	0.0148045	0.0271921	-0.00475226	-0.00268445	0.0104947	0.0141481	-0.00749065	-0.000594964	-0.00313375
